Unnamed: 0,uf,cod_municipio,municipio,cnpj,farmacia,endereco,bairro,data_credenciamento,tem_numero,geocode_status,endereco_completo,lat,lng
,SP,3520608,INDIANA,61.092.490/0001-98,DROGA 20 FARMACIA INDIANA LTDA,AV ALZINA SANTANA LEBRAO 132,CENTRO,2009-01-07 16:52:25,True,pendente,"AV ALZINA SANTANA LEBRAO 132, CENTRO, INDIANA, SP, Brasil",,
,SP,3520707,INDIAPORA,04.188.228/0001-08,ZULMIRA ALESSANDRA DIAS,RUA OROZIMBO LUIZ ARANTES 1125,CENTRO,2011-11-24 00:00:00,True,pendente,"RUA OROZIMBO LUIZ ARANTES 1125, CENTRO, INDIAPORA, SP, Brasil",,
,SP,3520707,INDIAPORA,11.221.097/0001-89,JANINE MARIA RUIZ DA COSTA FURINI,R MANOEL URQUIZA NOGUEIRA 1257,CENTRO,2011-02-17 09:12:11,True,pendente,"R MANOEL URQUIZA NOGUEIRA 1257, CENTRO, INDIAPORA, SP, Brasil",,
,SP,3520707,INDIAPORA,20.855.871/0001-02,JOAO VITOR FAVERO LTDA,RUA MANOEL URQUIZA NOGUEIRA 1171,CENTRO,2015-03-03 00:00:00,True,pendente,"RUA MANOEL URQUIZA NOGUEIRA 1171, CENTRO, INDIAPORA, SP, Brasil",,
,SP,3520806,INUBIA PAULISTA,04.747.313/0001-69,ZANETTI COMERCIO DE MEDICAMENTOS LTDA,"LEAO MIGUEL BANNWART, Nº 140",CENTRO,2009-06-02 16:35:40,True,pendente,"LEAO MIGUEL BANNWART, Nº 140, CENTRO, INUBIA PAULISTA, SP, Brasil",,
,SP,3520806,INUBIA PAULISTA,18.715.775/0001-09,DROGALIRA 01 COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,AVE LEAO MIGUEL BANNWART 494,CENTRO,2015-07-13 00:00:00,True,pendente,"AVE LEAO MIGUEL BANNWART 494, CENTRO, INUBIA PAULISTA, SP, Brasil",,
,SP,3520905,IPAUSSU,00.859.970/0001-47,DROGARIA IPAUCUENSE LTDA,RUA WASHINGTON LUIZ 1113,CENTRO,2010-08-30 13:31:17,True,pendente,"RUA WASHINGTON LUIZ 1113, CENTRO, IPAUSSU, SP, Brasil",,
,SP,3520905,IPAUSSU,02.994.821/0001-16,ALFREDO H. A. REDONDO LTDA,WASHINGTON LUIZ,CENTRO,2011-09-16 00:00:00,False,sem_numero,"WASHINGTON LUIZ, CENTRO, IPAUSSU, SP, Brasil",,
,SP,3520905,IPAUSSU,03.365.415/0001-57,A. C. FRAZA BIANCON LTDA,R WASHINGTON LUIZ 831,CENTRO,2009-09-25 09:06:12,True,pendente,"R WASHINGTON LUIZ 831, CENTRO, IPAUSSU, SP, Brasil",,
,SP,3520905,IPAUSSU,11.952.146/0001-53,SUELI DE FATIMA FRANCISCO DIAS LTDA,RUA WASHINGTON LUIZ 873,CENTRO,2011-08-04 00:00:00,True,pendente,"RUA WASHINGTON LUIZ 873, CENTRO, IPAUSSU, SP, Brasil",,
,SP,3521002,IPERO,18.353.494/0001-53,DROGARIA ULTRABARATO BARBOSA & GARCIA LTDA,AVE PAULO ANTUNES MOREIRA 667,CENTRO,2015-06-18 00:00:00,True,pendente,"AVE PAULO ANTUNES MOREIRA 667, CENTRO, IPERO, SP, Brasil",,
,SP,3521002,IPERO,20.115.024/0001-01,DROGARIA SOARES E SIQUEIRA LTDA.,"RUA GETULIO VARGAS, 61",CENTRO,2014-12-26 00:00:00,True,pendente,"RUA GETULIO VARGAS, 61, CENTRO, IPERO, SP, Brasil",,
,SP,3521101,IPEUNA,10.715.060/0001-44,FABI DROGARIA LTDA,1A 3 194,CENTRO,2012-10-15 00:00:00,True,pendente,"1A 3 194, CENTRO, IPEUNA, SP, Brasil",,
,SP,3521150,IPIGUA,04.829.190/0001-05,RODRIGUES & NETO COMERCIO VAREJISTA DE MEDICAMENTOS LTDA,RUA DO COMERCIO 551,CENTRO,2010-11-08 00:00:00,True,pendente,"RUA DO COMERCIO 551, CENTRO, IPIGUA, SP, Brasil",,
,SP,3521150,IPIGUA,12.668.718/0001-30,DROGARIA BETEL IPIGUA LTDA,R DO COMERCIO 480,CENTRO,2011-10-07 00:00:00,True,pendente,"R DO COMERCIO 480, CENTRO, IPIGUA, SP, Brasil",,
,SP,3521200,IPORANGA,43.272.945/0001-75,SIDNEI MOREIRA ALVES,CORONEL DESCIO,CENTRO,2025-05-26 00:00:00,False,sem_numero,"CORONEL DESCIO, CENTRO, IPORANGA, SP, Brasil",,
,SP,3521309,IPUA,04.772.183/0001-14,ISABEL CRISTINA GASTARDI BRITO IPUA,AVE DONA TEREZA 1139,CENTRO,2013-02-07 00:00:00,True,pendente,"AVE DONA TEREZA 1139, CENTRO, IPUA, SP, Brasil",,
,SP,3521309,IPUA,08.613.426/0001-22,DROGARIA SANTA CRUZ IPUA LTDA,AVE DONA TEREZA 820,CENTRO,2014-07-31 00:00:00,True,pendente,"AVE DONA TEREZA 820, CENTRO, IPUA, SP, Brasil",,
,SP,3521309,IPUA,56.122.112/0001-70,J A FERREIRA COSTA & CIA LTDA,AVE DONA TEREZA 988,CENTRO,2008-05-13 00:00:00,True,pendente,"AVE DONA TEREZA 988, CENTRO, IPUA, SP, Brasil",,
,SP,3521309,IPUA,74.293.440/0001-10,FARMACIA SANTO ANTONIO IPUA LTDA,AVE DONA TEREZA 741,CENTRO,2014-10-02 00:00:00,True,pendente,"AVE DONA TEREZA 741, CENTRO, IPUA, SP, Brasil",,
,SP,3521408,IRACEMAPOLIS,08.513.412/0001-37,C.M. DE PAULA & CIA LTDA,PC DA MATRIZ 214,CENTRO,2011-09-29 00:00:00,True,pendente,"PC DA MATRIZ 214, CENTRO, IRACEMAPOLIS, SP, Brasil",,
,SP,3521408,IRACEMAPOLIS,08.699.387/0001-28,SC SIQUEIRA DROGARIA,"RUA ALCIDES DE OLIVEIRO FRASSON, 263",RESIDENCIAL AQUARIUS,2012-11-20 00:00:00,True,pendente,"RUA ALCIDES DE OLIVEIRO FRASSON, 263, RESIDENCIAL AQUARIUS, IRACEMAPOLIS, SP, Brasil",,
,SP,3521408,IRACEMAPOLIS,54.085.808/0001-48,DROGAFAC SAUDE LTDA,RUA ANGELINA GOMES DE MORAES 555,JD JOAO OMETTO,2013-10-17 00:00:00,True,pendente,"RUA ANGELINA GOMES DE MORAES 555, JD JOAO OMETTO, IRACEMAPOLIS, SP, Brasil",,
,SP,3521408,IRACEMAPOLIS,54.375.647/0019-56,DROGAL FARMACEUTICA LTDA,PC DA MATRIZ 242,CENTRO,2006-03-29 00:00:00,True,pendente,"PC DA MATRIZ 242, CENTRO, IRACEMAPOLIS, SP, Brasil",,
,SP,3521507,IRAPUA,56.165.186/0001-93,IRAPUA DROGAS LTDA,"RUA JOAO LOPES DE OLIVEIRA, Nº 456",CENTRO,2009-09-28 00:00:00,True,pendente,"RUA JOAO LOPES DE OLIVEIRA, Nº 456, CENTRO, IRAPUA, SP, Brasil",,
,SP,3521606,IRAPURU,13.090.874/0001-29,J.C. GONCALVES & CIA LTDA,AVE 9 DE JULHO 448,CENTRO,2011-08-30 00:00:00,True,pendente,"AVE 9 DE JULHO 448, CENTRO, IRAPURU, SP, Brasil",,
,SP,3521606,IRAPURU,55.283.212/0001-15,ZEPPONE & CALEGAO LTDA,"AV. EUCLIDES DA CUNHA, Nº 909",CENTRO,2009-05-27 15:50:54,True,pendente,"AV. EUCLIDES DA CUNHA, Nº 909, CENTRO, IRAPURU, SP, Brasil",,
,SP,3521606,IRAPURU,60.418.001/0001-82,DROGARIA FARMAVIDA IRAPURU LTDA,AVE EUCLIDES DA CUNHA 936,CENTRO,2010-10-19 11:29:06,True,pendente,"AVE EUCLIDES DA CUNHA 936, CENTRO, IRAPURU, SP, Brasil",,
